word,answer
diem-diem,diam-diam
different,different
difficult,difficult
difikiran,dipikiran
digendong,digendong
digibahin,digibahi
digosipin,digosipkan
digunakan,digunakan
dihargain,dihargai
dihianati,dihianati
dihormati,dihormati
dihubungi,dihubungi
diingetin,diingatkan
dijadikan,dijadikan
dijalanan,di jalanan
dijalanin,dijalani
dijauhkan,dijauhkan
dijbjb-in,ditanggapi
dijelasin,dijelaskan
dijodohin,dijodohkan
dijulidin,dijulidi
dikabarin,dikabari
dikabulin,dikabulkan
dikampung,di kampung
dikasarin,dikasari
dikatakan,dikatakan
dikenalin,dikenalkan
dikerjaan,pekerjaan
dikerjain,dikerjakan
dikiranya,dikiranya
dikontrol,dikontrol
dikoreksi,dikoreksi
dikuatkan,dikuatkan
dikurangi,dikurangi
dilahirin,dilahirkan
dilakukan,dilakukan
dilayanin,dilayani
diledekin,diledek
dilewatin,dilewati
dilolosin,diloloskan
dilupakan,dilupakan
dimaafkan,dimaafkan
dimainkan,dimainkan
dimanapun,di mana pun
dimarahin,dimarahi
dimasukin,dimasukkan
dimeremin,dimeremkan
dimintain,dimintai
dimusuhin,dimusuhi
dinamakan,dinamakan
dinikmati,dinikmati
dinyalain,dinyalakan
diomongin,diomongkan
dionysius,dionysius
dipaksain,dipaksakan
dipancing,dipancing
dipandang,dipandang
dipanggil,dipanggil
dipatahin,dipatahkan
dipenjara,dipenjara
dipercaya,dipercaya
diperiksa,diperiksa
diperkosa,diperkosa
dipikiran,dipikiran
dipikirin,dipikirkan
dipinggir,di pinggir
dipojokan,di pojokkan
dipuk-puk,dipuk-puk
diputusin,diputuskan
dirancang,dirancang
dirasakan,dirasakan
diremehin,diremehkan
diresepin,diresepkan
dirugikan,dirugikan
dirundung,dirundung
disakitin,disakiti
disalahin,disalahkan
disamakan,disamakan
disamping,di samping
disaranin,disarankan
disebarin,disebarkan
disebelah,di sebelah
disebutin,disebutkan
disekitar,di sekitar
disekolah,di sekolah
disenggol,disenggol
disitulah,disitulah
disleksia,disleksia
disorders,disorders
dissorder,disorder
distraksi,distraksi
disupport,disupport
ditakutin,ditakuti
ditangkap,ditangkap
ditanyain,ditanyai
ditawarin,ditawari
ditemenin,ditemani
ditemukan,ditemukan
diterusin,diteruskan
ditinggal,ditinggal
dititipin,dititipkan
diturunin,diturunkan
diturutin,dituruti
ditutupin,ditutup
diyakinin,diyakini
dkit-dkit,dikit-dikit
dokternya,dokternya
dorg-dorg,orang-orang
dosa-dosa,dosa-dosa
dulu-dulu,dulu-dulu
dysphoria,dysphoria
edit-edit,edit-edit
efek-efek,efek-efek
effectnya,effectnya
eksklusif,eksklusif
ekspedisi,ekspedisi
ekspetasi,ekspektasi
ekspresif,ekspresif
eksternal,eksternal
emak-emak,emak-emak
eman-eman,eman-eman
emas-emas,emas-emas
emosional,emosional
emotional,emotional
empatinya,empatinya
enak-enak,enak-enak
endingnya,endingnya
energetic,energetic
energinya,energinya
erat-erat,erat-erat
everydaay,everyday
everyones,everyone
everytime,everytime
excessive,excessive
executive,executive
exhausted,exhausted
existence,existence
expecting,expecting
extremely,extremely
extrovert,extrovert
fase-fase,fase-fase
fasilitas,fasilitas
financial,keuangan
finansial,finansial
fine-fine,baik-baik
flashback,flashback
fobsossit,fobsossit
followers,followers
following,following
foto-foto,foto-foto
foya-foya,foya-foya
freelance,freelance
frekuensi,frekuensi
frustrasi,frustrasi
fungsinya,fungsi
gabakalan,gabakalan
gado-gado,gado-gado
gambarnya,gambarnya
gamungkin,tidak mungkin
gapapalah,tidak apa-apa
gapercaya,tidak percaya
gara-gara,karena
gasengaja,tidak sengaja
gasukanya,tidak sukanya
gatal2aku,gatal-gatal aku
gathering,gathering
gejalanya,gejala
gelinding,gelinding
gemetaran,gemetaran
gemeteran,tidak gemetar
gengsinya,egois gengsi
genuinely,genuinely
gimanapun,gimanapun
gini-gini,gini
gitu-gitu,gitu
goblok2in,goblok-goblokin
gobloknya,gobloknya
grup-grup,grup
guna-guna,guna-guna
guru-guru,guru
gutluking,goodlooking
gwenchana,tidak apa-apa
gyro-drop,gyro drop
h-sebulan,kurang dari sebulan
hahahahah,hahaha
hahahahha,hahaha
hahahhaha,komedi
hamba-nya,hambanya
hancurkan,hancurkan
hancurnya,hancur
handphone,handphone
happening,adhd
happiness,kebahagiaan
harapanku,harapanku
hari-hari,hari-hari
hati-hati,hati-hati
hawa-hawa,hawa
headphone,headphone
hecticnya,hecticnya
hepatitis,hepatitis
hepi-hepi,hepi
hibernasi,hibernasi
highlight,highlight
hilangkan,hilangkan
household,household
hutangnya,hutang
ibadahnya,ibadahnya
ibaratnya,ibaratnya
identitas,identitas
ikoterapi,ikoterapi
imaginasi,imaginasi
imagining,imagine
impactful,impactful
impactnya,impact
impulsive,impulsive
imunisasi,imunisasi
including,including
indikator,indikator
indomaret,indomaret
indonesia,indonesia
info-info,info-info
informasi,informasi
inisiatif,inisiatif
inspirasi,inspirasi
instagram,instagram
institusi,institusi
interaksi,interaksi
interview,interview
intoleran,intoleran
introvert,introvert
investasi,investasi
iris-iris,iris-iris
irregular,irregular
irritated,irritated
istighfar,istighfar
istiqomah,istiqomah
istirahat,istirahat
jadi-jadi,jadi
jadwalnya,jadwal
jaga-jaga,jaga
jangankan,jangankan
jantungan,jantungan
jantungku,jantung
jauh-jauh,jauh
jaya-jaya,jaya
jelalatan,jelalatan
jeonghani,jeonghani
jerawatan,jerawat
jlek-jlek,jelek-jelek
jobseeker,jobseeker
join-join,join-join
judgement,judgement
jumlahnya,jumlah
jurnaling,jurnaling
jurusanku,manajemen
kabupaten,kabupaten
kaitannya,kaitannya
kaka-kaka,kaka
kambuh2an,kambuhan
kambuhnya,kambuh
kandungan,kandungan
kapasitas,kapasitas
karaokean,karaoke
kata-buka,kata buka
kata-kata,kata
ke-angkat,angkat
ke-detect,detect
keadaanku,keadaan
keadaanmu,keadaan
keajaiban,keajaiban
kebakaran,kebakaran
kebalikan,kebalikan
kebebasan,kebebasan
kebencian,kebencian
keberatan,keberatan
kebetulan,kebetulan
kebiasaan,kebiasaan
kebijakan,kebijakan
kebodohan,kebodohan
keburukan,keburukan
kebutuhan,kebutuhan
kecanduan,kecanduan
kecapaian,kecapaian
kecemasan,kecemasan
kecepatan,kecepatan
kecepetan,kecepatan
kecewakan,kecewakan
kecewanya,kecewanya
kecintaan,kecintaan
kedamaian,kedamaian
kedepaanx,ke depannya
kedepanya,ke depannya
kedistrak,kedistrak
keegoisan,keegoisan
kefikiran,kepikiran
kefobosan,kebobolan
kefokusan,kefokusan
kegagalan,kegagalan
kegelapan,kegelapan
kegilsaan,kegilaan
keguguran,keguguran
kehabisan,kehabisan
kehadiran,kehadiran
kehamilan,kehamilan
kehampaan,kehampaan
kehidupan,kehidupan
kehujanan,kehujanan
keilangan,kehilangan
keinginan,keinginan
kejahatan,kejahatan
kejelasan,kejelasan
kejenuhan,kejenuhan
kejujuran,kejujuran
kekacauan,kekacauan
kekerasan,kekerasan
kekesalan,kekesalan
kekontrol,terkontrol
kelabakan,kelabakan
kelahiran,kelahiran
kelaparan,kelaparan
kelebihan,kelebihan
kelelahan,kelelahan
kelemahan,kelemahan
kelepasan,kelepasan
kelewatan,kelewatan
kelihatan,kelihatan
kelilingi,kelilingi
keluarkan,keluarkan
keluarnya,keluarnya
keluhanku,keluhanku
keluyuran,keluyuran
kemalasan,kemalasan
kemampuan,kemampuan
kemanapun,ke mana pun
kemarahan,kemarahan
kemarenan,kemarin
kemasukan,kemasukan
kena-kena,kena-kena
kenapanya,kenapanya
kenapasih,kenapa sih
kendaliin,kendalikan
kendaraan,kendaraan
kengerian,kengerian
kenyataan,kenyataan
kepada-mu,kepadamu
kepahitan,kepahitan
kepalanya,kepalanya
kepanasan,kepanasan
kepancing,terpancing
kepastian,kepastian
kepedihan,kepedihan
kepergian,kepergian
keperluan,keperluan
kepikiran,kepikiran
keponakan,keponakan
keputusan,keputusan
keracunan,keracunan
keramaian,keramaian
keranjang,keranjang
kerasanya,kerasanya
keresahan,keresahan
keributan,keributan
kerjaanku,kerjaanku
kerjaanya,kerjaannya
kerjasama,kerja sama
kerumunan,kerumunan
kerusakan,kerusakan
kesabaran,kesabaran
kesadaran,kesadaran
kesakitan,kesakitan
kesalahan,kesalahan
kesandung,tersandung
kesedihan,kesedihan
kesehatan,kesehatan
kesemutan,kesemutan
kesiangan,kesiangan
kesibukan,kesibukan
kesmen-ku,kesmenku
kesulitan,kesulitan
kesunyian,kesunyian
kesurupan,kesurupan
kesusahan,kesusahan
ketabahan,ketabahan
ketagihan,ketagihan
ketakutan,ketakutan
ketamakan,ketamakan
ketawanya,ketawanya
ketemunya,ketemunya
ketentuan,ketentuan
keterusan,keterusan
keteteran,keteteran
ketiduran,ketiduran
ketiganya,ketiganya
ketimbang,ketimbang
ketrigger,ketrigger
ketularan,ketularan
ketulusan,ketulusan
keturunan,keturunan
ketutupan,tertutup
kewajiban,kewajiban
kewalahan,kewalahan
kewarasan,kewarasan
keyakinan,keyakinan
khilangan,kehilangan
khususnya,khususnya
kindaichi,kindaichi
kira-kira,kira-kira
kisi-kisi,kisi-kisi
kita-kita,kita-kita
kleyengan,keliyengan
kliyengan,keliyengan
kmna-kmna,ke mana-mana
kmrn-kmrn,kemarin-kemarin
koar-koar,koar-koar
kode-kode,kode-kode
komunitas,komunitas
kondangan,kondangan
kondisiku,kondisiku
konseling,konseling
konsepnya,konsepnya
konsisten,konsisten
konsulnya,konsulnya
kontaknya,kontaknya
kontennya,kontennya
kontrakan,kontrakan
korbannya,korbannya
ktwa-ktwa,ketawa-ketawa
kuat-kuat,kuat-kuat
kucingnya,kucingnya
kulakukan,kulakukan
kuliahnya,kuliahnya
kupu-kupu,kupu-kupu
kurangnya,kurangnya
kurasakan,kurasakan
kurikulum,kurikulum
lagi-lagi,lagi-lagi
lagu-lagu,lagu-lagu
lain-lain,lain-lain
laki-laki,laki-laki
lama-lama,lama-lama
lambungku,lambungku
lampiasin,lampiaskan
langganan,langganan
lapangkan,lapangkan
lapo-lapo,lapo-lapo
lari-lari,lari-lari
last-last,last-last
late-june,late-june
laundryan,laundryan
leha-leha,leha-leha
level-nya,levelnya
liat-liat,lihat-lihat
lingkaran,lingkaran
linu-linu,linu-linu
listening,listening
literally,literally
long-term,long-term
lontarkan,lontarkan
luas-luas,luas-luas
lucu-lucu,lucu-lucu
luka-luka,luka-luka
lupa-lupa,lupa-lupa
maaf-maaf,maaf-maaf
maen-maen,main-main
magically,magically
mahasiswa,mahasiswa
main-main,main-main
maju-maju,maju-maju
makeup-an,makeup-an
maki-maki,maki-maki
maksudnya,maksudnya
mana-mana,mana-mana
manajemen,manajemen
manfaatin,manfaatkan
manggarai,manggarai
mangkanya,makanya
mantannya,mantannya
mantengin,mantengin
manusiawi,manusiawi
marketing,marketing
masa-masa,masa-masa
masadepan,masa depan
masalahku,masalahku
masalanya,masalahnya
materinya,materinya
mayoritas,mayoritas
mbak-mbak,mbak-mbak
mcem-mcem,macam-macam
meanwhile,meanwhile
mechanism,mechanism
mekanisme,mekanisme
melainkan,melainkan
melakukan,melakukan
melanggar,melanggar
melangkah,melangkah
melarikan,melarikan
melenceng,melenceng
melihatku,melihatku
melu-melu,melu-melu
meluapkan,meluapkan
melupakan,melupakan
mem-bully,mem-bully
memaafkan,memaafkan
memaklumi,memaklumi
memalukan,memalukan
memandang,memandang
memanggil,memanggil
memangnya,memangnya
membandel,membandel
membangun,membangun
membantah,membantah
membebani,membebani
membentuk,membentuk
membiayai,membiayai
membludak,membeludak
membuatku,membuatku
membuatmu,membuatmu
membuncah,membuncah
memfitnah,memfitnah
memorinya,memorinya
memproses,memproses
mempunyai,mempunyai
menafkahi,menafkahi
menangani,menangani
menangisi,menangisi
menantang,menantang
menatapku,menatapku
mencemooh,mencemooh
mencintai,mencintai
mencukupi,mencukupi
mendekati,mendekati
mendengar,mendengar
menderita,menderita
mendingan,mendingan
mendoakan,mendoakan
mendorong,mendorong
mendukung,mendukung
menemukan,menemukan
menentang,menentang
mengagumi,mengagumi
mengalami,mengalami
mengambil,mengambil
menganggu,mengganggu
mengasihi,mengasihi
mengatasi,mengatasi
mengawali,mengawali
menggangu,mengganggu
menggapai,menggapai
menggigil,menggigil
menghadap,menghadap
menghafal,menghafal
menghapus,menghapus
menghasut,menghasut
menghayal,mengkhayal
menghibur,menghibur
menghirup,menghirup
menghujat,menghujat
mengikuti,mengikuti
mengincar,mengincar
mengingat,mengingat
menginjak,menginjak
mengobati,mengobati
mengsedih,mengsedih
menguasai,menguasai
mengulang,mengulang
mengunyah,mengunyah
mengurung,mengurung
menikmati,menikmati
menimpaku,menimpaku
menimpali,menimpali
meninggal,meninggal
meninggoy,meninggal
meningkat,meningkat
menjalani,menjalani
menjelang,menjelang
menjemput,menjemput
menjomblo,menjomblo
mentality,mentality
mentalnya,mentalnya
mentingin,mementingkan
menurutku,menurutku
menurutmu,menurutmu
menyadari,menyadari
menyakiti,menyakiti
menyambut,menyambut
menyampah,menyampah
menyentuh,menyentuh
menyerang,menyerang
menyesali,menyesali
menyikapi,menyikapi
menyimpan,menyimpan
menyindir,menyindir
menyudahi,menyudahi
meragukan,meragukan
merangkak,merangkak
merangkul,merangkul
merasakan,merasakan
merayakan,merayakan
meredakan,meredakan
merekanya,merekanya
merenungi,merenungi
merhatiin,memperhatikan
merinding,merinding
merubahku,mengubahku
merugikan,merugikan
merupakan,merupakan
mghilngkn,menghilangkan
milennial,milenial
mindernya,mindernya
miserable,miserable
misoginis,misoginis
misterius,misterius
mnganggap,menganggap
moderator,moderator
moodswing,moodswing
mrah-mrah,marah-marah
msalahnya,masalahnya
mual-mual,mual-mual
muda-muda,muda-muda
muda-mudi,muda-mudi
muji-muji,memuji-muji
mula-mula,mula-mula
multitask,multitask
naik-naik,naik-naik
nanggepin,menanggapi
nangisnya,menangisnya
nano-nano,nano-nano
napa-napa,kenapa-napa
napas-nya,napasnya
narsistik,narsistik
nasehatin,menasihati
natsuzora,natsuzora
negaranya,negaranya
neglected,neglected
nego-nego,nego-nego
neko-neko,neko-neko
ngajarnya,mengajarnya
ngakhirin,mengakhiri
ngalah2in,mengalahkan
ngancurin,menghancurkan
ngandelin,mengandalkan
ngangkang,mengangkang
nganterin,mengantarkan
ngantukan,ngantukan
nge-judge,nge-judge
nge-tweet,nge-tweet
ngebedain,membedakan
ngebentak,membentak
ngebiarin,membiarkan
ngecewain,mengecewakan
ngechatin,menge-chat
ngedenger,mendengar
ngefeknya,berefeknya
ngefollow,mem-follow
ngegambar,menggambar
ngeganggu,mengganggu
ngeganjel,mengganjal
ngehambat,menghambat
ngehandle,meng-handle
ngehindar,menghindar
ngejalani,menjalani
ngejauhin,menjauhi
ngelakuin,melakukan
ngelantur,melantur
ngelarang,melarang
ngeliatin,melihat
ngeluapin,meluapkan
ngeluarin,mengeluarkan
ngelunjak,melunjak
ngelupain,melupakan
ngeramein,meramaikan
ngerancau,meracau
ngerantau,merantau
ngerasain,merasakan
ngerjakan,mengerjakan
ngertinya,mengertinya
ngerugiin,merugikan
ngetiknya,mengetiknya
ngga-ngga,tidak-tidak
ngilangin,menghilangkan
ngingetin,mengingatkan
ngintilin,mengikuti
ngobrolin,mengobrolkan
ngomelnya,mengomelnya
ngomongin,membicarakan
ngomporin,mengompori
ngos-ngos,ngos-ngosan
ngrasanya,merasakannya
ngrepotno,merepotkan
ngulangin,mengulangi
ngumpulin,mengumpulkan
ngundurin,mengundurkan
ngurangin,mengurangi
nightmare,nightmare
ninggalin,meninggalkan
nongkrong,nongkrong
nontonnya,menontonnya
normalize,normalize
nostalgic,nostalgic
nunjukkin,menunjukkan
nyamannya,nyamannya
nyamperin,menghampiri
nyanyinya,nyanyinya
nyelesain,menyelesaikan
nyelesein,menyelesaikan
nyembuhin,menyembuhkan
nyenengin,menyenangkan
nyepelein,menyepelekan
nyeritain,menceritakan
nyeriusin,menyeriusi
nyimpulin,menyimpulkan
nyinggung,menyinggung
nyinyiran,nyinyiran
nyumpahin,menyumpahi
nyut-nyut,nyut-nyutan
obat-obat,obat-obat
oleh-oleh,oleh-oleh
olok-olok,olok-olok
orang2nya,orang-orangnya
oranglain,orang lain
orng-orng,orang-orang
ortu-ortu,ortu-ortu
otot-otot,otot-otot
overdosis,overdosis
overthink,overthink
pagi-pagi,pagi-pagi
pagi-sore,pagi-sore
pait-pait,pahit-pahit
pake-pake,pakai-pakai
palembang,palembang
palestina,palestina
palestine,palestine
pandangan,pandangan
panggilan,panggilan
paralyzed,paralyzed
parenting,parenting
paru-paru,paru-paru
pas-pasan,pas-pasan
pasiennya,pasiennya
patriarki,patriarki
pecicilan,pecicilan
pecundang,pecundang
pede-pede,pede-pede
peka-peka,peka-peka
pekanbaru,pekanbaru
pekerjaan,pekerjaan
pelajaran,pelajaran
pelajarin,pelajari
pelanggan,pelanggan
pelecehan,pelecehan
pelupanya,pelupanya
pemahaman,pemahaman
pemakaman,pemakaman
pemasukan,pemasukan
pembagian,pembagian
pembelaan,pembelaan
pemberani,pemberani
pemberian,pemberian
pembohong,pembohong
pembukaan,pembukaan
pembulian,pembulian
pemikiran,pemikiran
peminatan,peminatan
pemulihan,pemulihan
penasaran,penasaran
pendendam,pendendam
pendengar,pendengar
penderita,penderita
pendirian,pendirian
pendukung,pendukung
pengajian,pengajian
pengakuan,pengakuan
pengennya,inginnya
pengganti,pengganti
pengingat,pengingat
pengusaha,pengusaha
penilaian,penilaian
penjagaan,penjagaan
penjualan,penjualan
penolakan,penolakan
penumpang,penumpang
penurunan,penurunan
penyayang,penyayang
penyintas,penyintas
perantara,perantara
peraturan,peraturan
perawatan,perawatan
perbaikan,perbaikan
perbaikin,perbaiki
perbedaan,perbedaan
perbuatan,perbuatan
percayaan,kepercayaan
perempuan,perempuan
pergaulan,pergaulan
perhatian,perhatian
perhatiin,perhatikan
peristiwa,peristiwa
perkataan,perkataan
perlakuan,perlakuan
perlakuin,perlakukan
pernahkah,pernahkah
persamaan,persamaan
persiapan,persiapan
persoalan,persoalan
pertamaku,pertamaku
pertemuan,pertemuan
pertnyaan,pertanyaan
perubahan,perubahan
perumahan,perumahan
pesantren,pesantren
petualang,petualang
pikiranku,pikiranku
pikiranya,pikirannya
pinternya,pintarnya
plsplspls,please
pndamping,pendamping
political,political
portfolio,portfolio
posisinya,posisinya
post-2o22,post-2022
postingan,postingan
potensial,potensial
potential,potential
powerbank,powerbank
poya-poya,foya-foya
pra-tidur,pra-tidur
praktekan,praktikkan
praktikum,praktikum
prasangka,prasangka
pregnancy,pregnancy
prejudice,prejudice
prioritas,prioritas
privilege,privilege
probation,probation
produktif,produktif
prosesnya,prosesnya
psikiater,psikiater
psikiatri,psikiatri
psikologi,psikologi
psychotic,psychotic
publikasi,publikasi
pulu-pulu,pulu-pulu
puncaknya,puncaknya
pura-pura,pura-pura
pusingnya,pusingnya
puskesmas,puskesmas
puwanjang,panjang
qualified,qualified
rada-rada,rada-rada
ragu-ragu,ragu-ragu
rame-rame,ramai-ramai
rapi-rapi,rapi-rapi
rasa-rasa,rasa-rasa
rata-rata,rata-rata
realistis,realistis
recovered,recovered
referensi,referensi
rejection,rejection
rejekinya,rezekinya
rekomenin,rekomendasikan
relasinya,relasinya
relatable,relatable
repressed,repressed
responnya,responsnya
retrogade,retrograde
rintangan,rintangan
rombongan,rombongan
rutinitas,rutinitas
saat-saat,saat-saat
sahabatku,sahabatku
sakaratul,sakaratul
sama-sama,sama-sama
sampaikan,sampaikan
sampingku,sampingku
sana-sini,sana-sini
sandepril,sandepril
sangatlah,sangatlah
sapa-sapa,sapa-sapa
saran2nya,saran-sarannya
satisfied,satisfied
satu-satu,satu-satu
saudaraku,saudaraku
sayangnya,sayangnya
sbenarnya,sebenarnya
sbenernya,sebenarnya
scenarios,scenarios
screaming,screaming
screening,screening
scrolling,scrolling
se-detail,se-detail
se-hampir,se-sehampir
se-intens,se-intens
se-jarang,jarang
se-sepele,sepele
se-simple,sesimple
se-social,sesocial
seanxious,anxious
searching,searching
sebahagia,bahagia
sebaiknya,sebaiknya
sebanding,sebanding
sebangsat,bangsat
sebelahan,sebelahan
sebenerny,sebenarnya
sebenrnya,sebenarnya
sebulanan,sebulanan
secangkir,secangkir
sedangkan,sedangkan
sederhana,sederhana
seenaknya,ngabisin
segalanya,segala
segampang,gampang
segininya,segininya
segitunya,segitunya
sejahtera,sejahtera
sejatinya,sejatinya
sekaligus,sekaligus
sekalinya,sekali
sekalipun,sekalipun
sekaratul,sekaratul
sekencang,sekencang
sekiranya,sekiranya
sekitaran,putus
sekitarku,sekitarku
sekolahin,sekolah
selamanya,selamanya
selebgram,selebgram
selective,selektif
self-harm,self harm
self-love,self love
self-sign,self sign
selfclaim,self claim
selingkuh,selingkuh
seliweran,seliweran
semalaman,semalaman
semaleman,semalaman
semangati,semangati
sembuhkan,sembuhkan
sembuhnya,sembuh
sementara,sementara
sendernim,sender nim
sendernya,sender
sendirian,sendirian
senengnya,senang
sensitive,sensitive
senyumnya,senyum
sepanjang,sepanjang
sepelekan,sepelekan
sepenting,penting
sepertiga,sepertiga
sepertiku,sepertiku
sepi-sepi,sepi
september,september
sepupunya,sepupu
serabutan,serabutan
seringnya,sering
seriously,serius
serotonin,dopamin
seru-seru,seru
sesegukan,sesegukan
seseorang,seseorang
setrikaan,setrikaan
seutuhnya,seutuhnya
seventeen,seventeen
sholatnya,sholat
siap-siap,siap
siklusnya,siklus
singkatan,singkatan
sini-sini,sini
sisa-sisa,sisa
situ-situ,situ
situation,situasi
skoliosis,skoliosis
skripsian,skripsi
sleepless,sleepless
smpe-smpe,sampai
smpx-smpx,sampai
sok-sokan,sok-sokan
solusinya,solusinya
something,sesuatu
sometimes,kadang
somewhere,somewhere
sosaiyeti,society
spaylater,shopee paylater
spertinya,sepertinya
spesialis,spesialis
spikiater,psikiater
statement,pernyataan
step-step,step
stimulasi,stimulasi
stop-stop,stop
strangers,strangers
streaming,streaming
stressful,stressful
stressnya,stress
struggled,struggle
struggles,struggles
suarannya,suara
suffering,suffering
suka-duka,suka duka
suka-suka,suka
sumbernya,sumber
surprised,surprised
surrender,surrender
surrogate,surrogate
susternya,suster
switching,switching
swlibfkuh,selingkuh
syaratnya,syarat
syukurlah,syukurlah
syukurnya,syukur
tahu-tahu,tahu
tahun2oo8,tahun 2008
takdirkan,takdirkan
takdirnya,takdir
talkative,talkative
tampak-mu,tampak
tangannya,tangannya
tangerang,tangerang
tangganya,tangga
tanggapan,tanggapan
tanggepan,tanggepan
tanggepin,tanggapan
tantangan,tantangan
tapi-tapi,tapi
taringnya,taring
taun-taun,taun
team-comp,team comp
telanjang,telanjang
teledoran,teledoran
telkomsel,telkomsel
temen2nya,teman
tempatkan,tempatkan
tempatnya,tempat
tempramen,temperamen
tenaganya,tenaga
tenangkan,tenangkan
tenanglah,tenang
tenangnya,tenang
tengahnya,tengah
tenggelam,tenggelam
tentangku,tentangku
ter-video,video
terbangun,terbangun
terbayang,terbayang
terbebani,terbebani
terbilang,terbilang
tercukupi,cukup
terdaftar,terdaftar
terdahulu,terdahulu
terdampak,terdampak
terdengar,terdengar
terganggu,terganggu
terhalang,terhalang
terhambat,terhambat
terhitung,terhitung
terhubung,terhubung
teriaknya,teriak
terkadang,terkadang
terkekang,terkekang
terkumpul,terkumpul
terlambat,terlambat
terlanjur,terlanjur
terlarang,terlarang
terlewati,terlewati
terlintas,berjuang
termenung,ngelamun
termiskin,termiskin
terngiang,terngiang
ternyaman,ternyaman
terobsesi,terobsesi
terombang,terombang
terpantau,terpantau
terpendam,terpendam
terpenuhi,terpenuhi
tersaingi,tersaingi
tersakiti,tersakiti
tersayang,tersayang
tersentuh,tersentuh
tersenyum,tersenyum
terserang,serang
tersindir,tersindir
tertampar,tertampar
tertinggi,tertinggi
tertolong,tertolong
tertumpuk,tertumpuk
terungkap,terungkap
terzikzsa,tersiksa
therapist,therapist
thingking,thinking
threadnya,threadnya
tiba-tiba,tiba-tiba
ticketing,ticketing
tiktoknya,tiktoknya
timbangan,timbangan
timbulkan,timbulkan
timbulnya,timbulnya
time-time,time-time
timingnya,timingnya
tinggalin,tinggalkan
tingginya,tingginya
tmen-tmen,teman-teman
toel-toel,toel-toel
toko-toko,toko-toko
toleransi,toleransi
tolonglah,tolonglah
transaksi,transaksi
transport,transport
traumanya,traumanya
traumatic,traumatic
traumatis,traumatis
traveling,traveling
treatment,treatment
trigerred,triggered
triggered,triggered
tubi-tubi,tubi-tubi
tujuannya,tujuannya
tumpukkan,tumpukkan
twit-twit,twit-twit
ubun-ubun,ubun-ubun
udah-udah,sudah-sudah
udahannya,kesudahannya
ugal-ugal,ugal-ugal
ujug-ujug,ujug-ujug
ujung2nya,ujung-ujungnya
umur-umur,umur-umur
uneg-uneg,unek-unek
unek-unek,unek-unek
ungkapkan,ungkapkan
unhealthy,unhealthy
uninstall,uninstall
untreated,untreated
untungnya,untungnya
urus-urus,urus-urus
urusannya,urusannya
usia-usia,usia-usia
usir-usir,usir-usir
villaines,villainess
wajargasi,wajar tidak sih
wawancara,wawancara
wkwkwkwkw,hahaha
wondering,wondering
worldtour,worldtour
worthless,worthless
yaudahlah,ya sudahlah
yesterday,yesterday
-anaknya,anaknya
-anxiety,anxiety
-anxious,anxious
-depresi,depresi
-dibenci,dibenci
-gapunya,tidak punya
-kembali,kembali
-liburan,liburan
-rencana,rencana
1 minggu,1 minggu
10 hours,10 hours
10 menit,10 menit
10 tahun,10 tahun
10 years,10 years
11 hours,11 hours
11 tahun,11 tahun
12 bulan,12 bulan
12 menit,12 menit
12 tahun,12 tahun
12 years,12 years
13 tahun,13 tahun
14 tahun,14 tahun
15 bulan,15 bulan
15 detik,15 detik
15 menit,15 menit
15 tahun,15 tahun
16 tahun,16 tahun
17 tahun,17 tahun
17 years,17 years
18 tahun,18 tahun
180 hari,180 hari
19 tahun,19 tahun
1opm-6am,10pm sampai 6am
2 minggu,2 minggu
2 months,2 months
20 detik,20 detik
20 menit,20 menit
20 tahun,20 tahun
21 tahun,21 tahun
22 tahun,22 tahun
23 tahun,23 tahun
25 detik,25 detik
25 menit,25 menit
25 tahun,25 tahun
26 tahun,26 tahun
27 hours,27 hours
27 tahun,27 tahun
28 tahun,28 tahun
2o21-lah,2021-lah
2oi9-now,2019-now
3 minggu,3 minggu
3 months,3 months
30 detik,30 detik
30 menit,30 menit
30 tahun,30 tahun
33 tahun,33 tahun
34 tahun,34 tahun
35 tahun,35 tahun
36 tahun,36 tahun
365 hari,365 hari
37 tahun,37 tahun
3iio2o24,31-10-2024
4 months,4 months
40 tahun,40 tahun
5 months,5 months
51 menit,51 menit
51 tahun,51 tahun
6 months,6 months
60 menit,60 menit
60 tahun,60 tahun
80-9obpm,80-90 bpm
9 months,9 months
abangnya,abangnya
abnormal,abnormal
academic,academic
acaranya,acaranya
accepted,accepted
accounts,accounts
actively,actively
activity,activity
actually,actually
adaptasi,adaptasi
addicted,addicted
adhd-nya,adhd-nya
adikknya,adiknya
adminnya,adminnya
adulting,adulting
affected,affected
afirmasi,afirmasi
ahahahah,hahaha
aiianaa1,aiianaa1
akademik,akademik
akademis,akademis
akhirini,akhir ini
akhirnya,akhirnya
aktifnya,aktifnya
aktornya,aktornya
al-girls,al-girls
al-quran,al-quran
alangkah,alangkah
alasanku,alasanku
alasanya,alasannya
alertnes,alertness
alesanya,alasannya
almarhum,almarhum
ambisius,ambisius
ambivert,ambivert
anak2nya,anak-anaknya
anak2oo7,anak 2007
analisis,analisis
ancurnya,hancurnya
andalkan,andalkan
anggiani,anggiani
angkatan,angkatan
animedol,animedol
anjierrt,anjir
anjinghg,anjing
anjirlah,anjirlah
announce,announce
annoying,annoying
anorexia,anorexia
ansosnya,ansosnya
antusias,antusias
anxienty,anxiety
